~product~product_code~product_category~product_subcategory
0~Aceite de oliva 0,4º Hacendado~4241~Aceite, especias y salsas >~Aceite, vinagre y sal
1~Aceite de oliva 0,4º Hacendado~4240~Aceite, especias y salsas >~Aceite, vinagre y sal
2~Aceite de oliva virgen extra Hacendado~4717~Aceite, especias y salsas >~Aceite, vinagre y sal
3~Aceite de oliva virgen extra Hacendado~4740~Aceite, especias y salsas >~Aceite, vinagre y sal
4~Aceite de oliva virgen extra Hacendado Gran Selección~4706~Aceite, especias y salsas >~Aceite, vinagre y sal
5~Aceite de oliva 1º Hacendado~4641~Aceite, especias y salsas >~Aceite, vinagre y sal
6~Aceite de oliva 1º Hacendado~4640~Aceite, especias y salsas >~Aceite, vinagre y sal
7~Aceite de oliva virgen Hacendado~4711~Aceite, especias y salsas >~Aceite, vinagre y sal
8~Aceite de oliva virgen Hacendado~4749~Aceite, especias y salsas >~Aceite, vinagre y sal
9~Aceite de oliva virgen extra Hacendado~4718~Aceite, especias y salsas >~Aceite, vinagre y sal
10~Aceite de oliva virgen extra Picual Casa Juncal~4850~Aceite, especias y salsas >~Aceite, vinagre y sal
11~Aceite de girasol refinado 0,2º Hacendado~4047~Aceite, especias y salsas >~Aceite, vinagre y sal
12~Aceite de girasol refinado 0,2º Hacendado~4046~Aceite, especias y salsas >~Aceite, vinagre y sal
13~Aceite de coco virgen Hacendado~4193~Aceite, especias y salsas >~Aceite, vinagre y sal
14~Vinagre de vino blanco Hacendado~4940~Aceite, especias y salsas >~Aceite, vinagre y sal
15~Vinagre balsámico de Módena Hacendado~4954~Aceite, especias y salsas >~Aceite, vinagre y sal
16~Vinagre de manzana Hacendado~4957~Aceite, especias y salsas >~Aceite, vinagre y sal
17~Limón exprimido Hacendado~4903~Aceite, especias y salsas >~Aceite, vinagre y sal
18~Crema de vinagre balsámico de Módena Hacendado~4908~Aceite, especias y salsas >~Aceite, vinagre y sal
19~Vinagre de Jerez reserva Hacendado~13609~Aceite, especias y salsas >~Aceite, vinagre y sal
20~Bebida aromatizada a base de vino para cocinar Abuela Carola~66905~Aceite, especias y salsas >~Aceite, vinagre y sal
21~Vinagre de vino tinto Hacendado~15843~Aceite, especias y salsas >~Aceite, vinagre y sal
22~Reducción de vinagre Pedro Ximénez Hacendado~4905~Aceite, especias y salsas >~Aceite, vinagre y sal
23~Aceite de oliva, vinagre y sal Merry 5 monodosis 10 ml aceite de oliva virgen extra, 5 monodosis 10 ml vinagre de jerez y 5 monodosis 1 gr sal~4962~Aceite, especias y salsas >~Aceite, vinagre y sal
24~Crema de vinagre balsámico de manzana Hacendado~4965~Aceite, especias y salsas >~Aceite, vinagre y sal
25~Aliño viandox Knorr~7104~Aceite, especias y salsas >~Aceite, vinagre y sal
26~Sal fina Hacendado~19731~Aceite, especias y salsas >~Aceite, vinagre y sal
27~Sal fina de mesa Hacendado~19715~Aceite, especias y salsas >~Aceite, vinagre y sal
28~Sal yodada fina Hacendado~19732~Aceite, especias y salsas >~Aceite, vinagre y sal
29~Sal gruesa Hacendado~19733~Aceite, especias y salsas >~Aceite, vinagre y sal
30~Bicarbonato sódico Hacendado~29007~Aceite, especias y salsas >~Aceite, vinagre y sal
31~Bicarbonato sódico Hacendado~29006~Aceite, especias y salsas >~Aceite, vinagre y sal
32~Sal marina en escamas Polasal~19740~Aceite, especias y salsas >~Aceite, vinagre y sal
33~Sal gruesa para hornear Hacendado~19734~Aceite, especias y salsas >~Aceite, vinagre y sal
34~Sal de ajo Hacendado~34130~Aceite, especias y salsas >~Aceite, vinagre y sal
35~Sal de frutas sabor limón Hacendado~29016~Aceite, especias y salsas >~Aceite, vinagre y sal
36~Sal 60% menos de sodio Hacendado~19713~Aceite, especias y salsas >~Aceite, vinagre y sal
37~Preparado para salmón ahumado Hacendado~19726~Aceite, especias y salsas >~Aceite, vinagre y sal
38~Sal rosa del Himalaya Hacendado~19701~Aceite, especias y salsas >~Aceite, vinagre y sal
39~Sal de ajo Hacendado~34130~Aceite, especias y salsas >~Aceite, vinagre y sal
40~Bebida aromatizada a base de vino para cocinar Abuela Carola~66905~Aceite, especias y salsas >~Aceite, vinagre y sal
41~Hoja de laurel Hacendado~19431~Aceite, especias y salsas >~Especias
42~Hierbas provenzales Hacendado~34131~Aceite, especias y salsas >~Especias
43~Albahaca Hacendado~34128~Aceite, especias y salsas >~Especias
44~Romero Hacendado~34175~Aceite, especias y salsas >~Especias
45~Tomillo Hacendado~34174~Aceite, especias y salsas >~Especias
46~Eneldo hojas Hacendado~34136~Aceite, especias y salsas >~Especias
47~Cilantro Hacendado~34721~Aceite, especias y salsas >~Especias
48~Ajo y Perejil Hacendado~60873~Aceite, especias y salsas >~Especias
49~Colorante alimentario Hacendado~34182~Aceite, especias y salsas >~Especias
50~Pimentón dulce Hacendado~34184~Aceite, especias y salsas >~Especias
51~Pimentón dulce Hacendado~34186~Aceite, especias y salsas >~Especias
52~Pimentón dulce de la Vera Hacendado~34102~Aceite, especias y salsas >~Especias
53~Azafrán molido Hacendado~34116~Aceite, especias y salsas >~Especias
54~Azafrán hebra Hacendado~34115~Aceite, especias y salsas >~Especias
55~Pimentón picante Hacendado~34183~Aceite, especias y salsas >~Especias
56~Pimienta negra molida Hacendado~34171~Aceite, especias y salsas >~Especias
57~Molinillo pimienta negra Hacendado~67693~Aceite, especias y salsas >~Especias
58~Pimienta negra en grano Hacendado~34172~Aceite, especias y salsas >~Especias
59~Perejil Hacendado~22843~Aceite, especias y salsas >~Especias
60~Pimienta blanca molida Hacendado~34170~Aceite, especias y salsas >~Especias
61~Ajo granulado Hacendado~34181~Aceite, especias y salsas >~Especias
62~Cebolla frita crujiente Hacendado~34208~Aceite, especias y salsas >~Especias
63~Canela molida Hacendado~34177~Aceite, especias y salsas >~Especias
64~Canela en rama Hacendado~34176~Aceite, especias y salsas >~Especias
65~Comino molido Hacendado~34120~Aceite, especias y salsas >~Especias
66~Comino en grano Hacendado~34121~Aceite, especias y salsas >~Especias
67~Curry Hacendado~34125~Aceite, especias y salsas >~Especias
68~Nuez moscada molida Hacendado~34173~Aceite, especias y salsas >~Especias
69~Picada catalana Hacendado~34717~Aceite, especias y salsas >~Especias
70~Cebolla en polvo Hacendado~34138~Aceite, especias y salsas >~Especias
71~Cayena guindillas Hacendado~34178~Aceite, especias y salsas >~Especias
72~Cayena molida Hacendado~37417~Aceite, especias y salsas >~Especias
73~Cúrcuma Hacendado~34163~Aceite, especias y salsas >~Especias
74~Jengibre molido Hacendado~34149~Aceite, especias y salsas >~Especias
75~Orégano Hacendado~34180~Aceite, especias y salsas >~Especias
76~Ñoras Hacendado~34113~Aceite, especias y salsas >~Especias
77~Clavo en grano Hacendado~34122~Aceite, especias y salsas >~Especias
78~Vainilla en rama Hacendado~34068~Aceite, especias y salsas >~Especias
79~Anís en grano Hacendado~34123~Aceite, especias y salsas >~Especias
80~Pimientos choriceros dulces del cristal Hacendado~34790~Aceite, especias y salsas >~Especias
81~Piñones Hacendado~60869~Aceite, especias y salsas >~Especias
82~Sazonador para fajitas Hacendado sabor tex-mex~23353~Aceite, especias y salsas >~Especias
83~Sazonador al horno y microondas ajo y limón Hacendado con bolsa~37403~Aceite, especias y salsas >~Especias
84~Sazonador al horno y microondas pollo y costillas a las hierbas provenzales Hacendado con bolsa~37402~Aceite, especias y salsas >~Especias
85~Sazonador sabor barbacoa Hacendado incluye 2 bolsas y 2 sazonadores~37414~Aceite, especias y salsas >~Especias
86~Preparado para paella con azafrán Hacendado~34777~Aceite, especias y salsas >~Especias
87~Sazonador para paella con azafrán Hacendado~34702~Aceite, especias y salsas >~Especias
88~Sazonador para burritos Hacendado~17147~Aceite, especias y salsas >~Especias
89~Sazonador pollo y carne Hacendado~37408~Aceite, especias y salsas >~Especias
90~Sazonador pasta Hacendado~34134~Aceite, especias y salsas >~Especias
91~Sazonador ensalada Hacendado~37405~Aceite, especias y salsas >~Especias
92~Sazonador Ras el Hanout Hacendado~22798~Aceite, especias y salsas >~Especias
93~Molinillo mix pimientas Hacendado~67694~Aceite, especias y salsas >~Especias
94~Mayonesa Hacendado~13408~Aceite, especias y salsas >~Mayonesa, ketchup y mostaza
95~Mayonesa Hacendado~13407~Aceite, especias y salsas >~Mayonesa, ketchup y mostaza
96~Mayonesa Hellmann's~17092~Aceite, especias y salsas >~Mayonesa, ketchup y mostaza
97~Mayonesa Hellmann's~17052~Aceite, especias y salsas >~Mayonesa, ketchup y mostaza
98~Salsa ligera Ligeresa~67836~Aceite, especias y salsas >~Mayonesa, ketchup y mostaza
99~Salsa ligera Ligeresa~17010~Aceite, especias y salsas >~Mayonesa, ketchup y mostaza
100~Salsa ligera Ligeresa~17039~Aceite, especias y salsas >~Mayonesa, ketchup y mostaza
101~Mayonesa Ybarra~17038~Aceite, especias y salsas >~Mayonesa, ketchup y mostaza
