,product,units,price,order_number,fecha
0,"Salsa de tomate, albahaca y orégano Hacendado",1,1.2,13945376,2023-03-11
1,Tomate pera,2,0.6,13945376,2023-03-11
2,Atún en aceite de girasol Hacendado,2,13.6,13945376,2023-03-11
3,Café molido natural Hacendado,1,3.2,13945376,2023-03-11
4,Hummus de garbanzos Hacendado con pimiento del piquillo asado,1,1.45,13945376,2023-03-11
5,Chili con carne Hacendado,1,2.6,13945376,2023-03-11
6,Acondicionador Repara & Protege Pantene,1,3.8,13945376,2023-03-11
7,Palitos de zanahoria,1,1.78,13945376,2023-03-11
8,Fajitas pollo y verduras,2,7.98,13945376,2023-03-11
9,Detergente ropa All in 1 Ariel Pods en cápsulas,1,8.8,13945376,2023-03-11
10,Champú Anticaída Men Deliplus,1,1.95,13945376,2023-03-11
11,Arándanos,1,2.78,13945376,2023-03-11
12,Refresco Coca-Cola Zero Zero,1,9.12,13945376,2023-03-11
13,Barquillos con crema de avellanas Hacendado,1,1.5,13945376,2023-03-11
14,Pudding +Proteínas caramelo Hacendado 12 g proteínas,1,1.95,13945376,2023-03-11
15,Espárrago verde grueso,1,3.26,13945376,2023-03-11
16,Banana,3,0.75,13945376,2023-03-11
17,Huevos grandes L,1,4.05,13945376,2023-03-11
18,Aguacates,1,2.41,13945376,2023-03-11
19,Chili con carne Hacendado,1,2.6,13879881,2023-03-04
20,Fajitas pollo y verduras,2,7.98,13879881,2023-03-04
21,Maxi tortillas de trigo Hacendado,1,1.6,13879881,2023-03-04
22,Desodorante invisible Black & White Nivea Men,1,2.75,13879881,2023-03-04
23,Ambientador spray Ropa Limpia Bosque Verde,1,1.3,13879881,2023-03-04
24,Hierbas provenzales Hacendado,1,1.1,13879881,2023-03-04
25,Refresco Coca-Cola Zero Zero,1,9.12,13879881,2023-03-04
26,Aceite de oliva virgen extra Hacendado,1,2.34,13879881,2023-03-04
27,Edulcorante en sobres stevia Hacendado,1,2.0,13879881,2023-03-04
28,Batata,2,1.91,13879881,2023-03-04
29,Patatas,1,4.23,13879881,2023-03-04
30,Mantequilla con sal Hacendado,1,2.1,13879881,2023-03-04
31,"Salsa de tomate, albahaca y orégano Hacendado",1,1.2,13879881,2023-03-04
32,Arroz largo Hacendado,1,1.3,13879881,2023-03-04
33,Pan de molde 100% integral Hacendado,1,0.95,13879881,2023-03-04
34,Bebida de almendras zero Hacendado,1,1.45,13879881,2023-03-04
35,Dentífrico Protección Caries Colgate,1,1.85,13879881,2023-03-04
36,Judía verde redonda,1,2.2,13879881,2023-03-04
37,Barquillos con crema de avellanas Hacendado,1,1.5,13879881,2023-03-04
38,Preparado de carne picada vacuno,1,7.45,13879881,2023-03-04
39,Pudding +Proteínas caramelo Hacendado 12 g proteínas,1,1.95,13879881,2023-03-04
40,Espárrago verde grueso,1,3.26,13879881,2023-03-04
41,Banana,5,1.42,13879881,2023-03-04
42,Ensalada mezcla brotes tiernos maxi,1,1.68,13879881,2023-03-04
43,Huevos grandes L,2,8.1,13879881,2023-03-04
44,Pechugas enteras de pollo,1,6.77,13879881,2023-03-04
45,Medallones pechuga de pollo marinado,1,3.98,13879881,2023-03-04
46,Aguacates,1,2.91,13879881,2023-03-04
47,Salsa césar Hacendado,1,1.4,13821013,2023-02-25
48,Mostaza clásica Hacendado,1,1.25,13821013,2023-02-25
49,Toallitas limpiadoras desengrasantes de Cocina Bosque Verde,1,1.3,13821013,2023-02-25
50,Servilleta papel Bosque Verde,1,1.4,13821013,2023-02-25
51,Queso de cabra Président en medallones,1,3.32,13821013,2023-02-25
52,Pan de molde 100% integral Hacendado,1,0.95,13821013,2023-02-25
53,Jabón de manos Beauty Cream Bar Dove pastilla,1,2.6,13821013,2023-02-25
54,Bebida de almendras zero Hacendado,1,1.45,13821013,2023-02-25
